;cd_instituic;cd_curso;sexo;ord_ingresso;cd_tip_est_sec;cd_hab_ant;cd_regime;idadeReal;trabalhadorEstudante;cd_inst_hab_ant;estado_civil;cd_cur_hab_ant;Ensino Outros Mae;Ensino Outros Pai;pais trabalham;Portugues;CNA;internacional;maiores 23;outros;1geracao;nota10-12;nota12-14;nota14-16;nota16-18;nota18-20;Abandono
384;0;16;0;1;1;3;0;26;1;57;1;53;0;0;3;1;0;0;1;0;1;1;0;0;0;0;0
387;0;24;1;1;1;1;2;32;0;289;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0
396;0;11;1;1;1;1;0;38;1;164;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0
397;0;20;0;1;1;1;2;30;1;118;5;0;0;0;3;1;0;0;1;0;1;0;0;0;0;1;0
413;3;4;0;1;1;26;0;34;0;113;2;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0
425;2;21;0;1;1;3;2;30;1;37;1;89;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0
434;2;12;1;1;1;31;0;21;1;59;1;134;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0
436;2;12;1;1;1;31;0;19;0;59;1;134;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0
437;0;7;1;1;2;1;1;36;1;349;2;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0
453;3;6;0;1;1;31;2;22;0;6;1;132;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0
458;0;24;0;2;1;1;2;19;0;252;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
465;0;7;0;1;1;1;1;19;0;229;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0
473;0;2;0;1;1;1;2;20;0;170;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
474;0;2;0;2;1;1;2;19;0;310;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
483;0;15;0;2;1;1;0;18;0;190;1;0;0;0;3;1;1;0;0;0;1;0;0;1;0;0;0
485;0;17;1;1;1;1;0;17;0;104;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
487;0;11;0;1;1;1;0;17;0;106;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
