;cd_instituic;cd_curso;sexo;ord_ingresso;cd_tip_est_sec;cd_hab_ant;cd_regime;idadeReal;trabalhadorEstudante;cd_inst_hab_ant;estado_civil;cd_cur_hab_ant;Ensino Outros Mae;Ensino Outros Pai;pais trabalham;Portugues;CNA;internacional;maiores 23;outros;1geracao;nota10-12;nota12-14;nota14-16;nota16-18;nota18-20;Abandono
256;0;0;0;1;1;1;0;18;0;305;1;0;0;0;0;1;2;0;0;0;1;0;0;1;0;0;0
257;0;23;0;3;1;1;2;19;0;119;1;0;0;0;1;1;2;0;0;0;1;0;1;0;0;0;0
266;0;17;0;3;1;1;0;18;0;80;1;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0
268;0;17;0;3;1;1;0;18;0;80;1;0;0;0;3;1;2;0;0;0;1;0;0;1;0;0;0
272;1;13;0;1;1;1;0;18;0;253;1;0;0;0;1;1;2;0;0;0;1;0;1;0;0;0;0
281;0;17;0;2;1;1;0;18;0;78;1;0;0;0;1;1;2;0;0;0;1;0;0;1;0;0;0
285;1;5;1;1;2;1;0;21;0;283;1;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0
291;1;13;1;5;1;1;0;19;0;80;1;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0
296;1;14;1;1;1;1;0;18;0;310;1;0;0;0;3;1;2;0;0;0;1;0;1;0;0;0;0
305;2;18;0;1;1;1;0;18;1;315;1;0;0;0;1;1;2;0;0;0;1;0;0;1;0;0;0
307;2;18;0;1;1;1;0;18;1;253;1;0;0;0;1;1;2;0;0;0;1;0;0;1;0;0;0
310;3;4;0;1;1;1;0;18;0;352;1;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;0
318;0;16;0;1;0;0;0;22;1;0;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0
324;1;10;1;1;1;1;0;42;1;333;2;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
333;1;8;1;1;1;31;0;24;1;59;1;120;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0
336;1;8;1;1;1;31;0;20;0;59;1;135;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0
346;1;5;1;1;1;31;0;22;0;59;1;140;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0
347;1;5;1;1;1;31;0;20;0;59;1;135;0;0;3;1;0;0;0;1;1;0;0;1;0;0;0
349;1;14;1;1;1;31;0;20;0;59;1;135;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0
352;1;9;1;1;1;1;2;35;1;59;2;111;0;0;3;1;0;0;0;1;1;0;0;0;1;0;0
371;0;17;0;1;1;1;0;33;1;140;1;0;0;0;2;1;0;0;1;0;0;0;0;0;1;0;0
378;0;19;0;1;1;1;0;46;1;135;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0
394;0;17;1;1;1;1;0;36;1;305;2;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0
398;0;20;0;1;1;1;2;50;0;305;2;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
399;0;15;1;1;1;26;0;49;1;81;2;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0
409;0;20;0;1;1;1;2;29;1;120;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0
411;0;23;1;1;1;1;2;29;1;310;1;0;0;0;3;1;0;0;0;1;1;0;1;0;0;0;0
414;3;6;1;1;1;1;2;51;1;254;2;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0
416;3;6;1;1;1;1;2;34;1;254;2;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0
418;2;18;1;1;1;1;0;24;1;254;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0
421;2;21;0;1;1;1;2;34;1;343;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0
423;2;21;0;1;1;1;2;24;1;343;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0
428;2;18;0;1;2;31;0;21;0;35;1;126;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
438;3;4;1;1;2;1;0;21;0;252;1;0;0;0;2;1;0;0;0;1;1;0;0;1;0;0;0
442;0;11;1;3;1;1;0;19;1;80;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0
443;0;2;0;1;1;1;2;20;1;81;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
445;0;24;0;1;1;31;2;27;1;6;1;132;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
457;0;19;0;1;2;1;0;19;0;252;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
463;0;0;1;1;1;1;0;20;0;253;1;0;0;0;2;1;1;0;0;0;1;0;1;0;0;0;0
478;0;24;0;2;1;1;2;18;0;327;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
479;0;16;0;2;1;1;0;18;0;327;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
480;0;16;1;1;1;1;0;18;0;140;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
484;0;17;0;1;1;1;0;18;1;220;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
490;0;11;0;3;1;1;0;17;0;187;1;0;0;0;3;1;1;0;0;0;1;0;0;1;0;0;0
491;0;23;0;3;1;1;2;19;0;187;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
492;0;16;0;1;1;1;0;19;1;291;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
503;0;16;0;2;1;1;0;18;0;135;1;0;0;0;3;1;1;0;0;0;1;0;0;0;1;0;0
504;0;2;0;3;1;1;2;18;0;135;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
505;0;11;1;2;1;1;0;17;0;135;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
508;0;17;0;4;1;1;0;18;0;136;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
515;0;16;1;1;1;1;0;17;0;178;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
521;0;19;0;1;1;1;0;18;0;97;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
